hhid,Wave,Site,hours,days,cost,subsidy
211101003,2006,1,,,1000,
211101007,1989,1,8,4,50,
211101007,1991,1,,,50,
211101008,1989,1,10,6,80,20
211101008,1991,1,,,50,10
211101008,1993,1,,,,
211101008,2000,1,,,500,
211101014,1989,1,7,6,80,13
211101014,1991,1,,,100,5
211101015,1993,1,,,120,9
211101017,2006,1,,,100,
211101061,2000,1,,,200,10
211101063,2004,1,,,200,
211101065,2004,1,,,300,
211101065,2006,1,,,800,
211101067,2004,1,,,200,
211102001,1991,1,,,160,0
211102001,1993,1,,,88,
211102008,2006,1,,,1600,
211102016,1991,1,,,50,11
211102018,2004,1,,,420,
211102018,2006,1,,,800,
211102062,2004,1,,,80,
211102067,2000,1,,,,
211102070,2000,1,,,500,20
211102071,2004,1,,,350,40
211103001,1989,1,7,6,60,
211103001,1991,1,,,100,10
211103001,1993,1,,,100,9
211103002,1989,1,,0,0,16
211103003,1989,1,,,25,
211103003,1993,1,,,140,
211103004,1989,1,8,6,15,
211103005,1989,1,8,6,20,
211103005,1991,1,,,70,5
211103005,1993,1,,,,
211103006,1989,1,8,6,25,
211103006,1991,1,,,130,5
211103006,1993,1,,,,8
211103007,1989,1,24,,,20
211103007,1991,1,,,27,20
211103008,1989,1,,0,30,21
211103008,1991,1,,,27,20
211103011,1989,1,,0,30,17
211103012,1989,1,8,6,35,0
211103012,1991,1,,,35,5
211103016,1989,1,8,6,20,20
211103016,1991,1,,,0,0
211103017,1989,1,,,,
211103018,1989,1,8,6,20,10
211103018,1991,1,,,158,10
211103018,1993,1,,,100,0
211103020,1989,1,6,6,120,20
211103020,1991,1,,,150,20
211103020,1993,1,,,150,4
211103081,2004,1,,,240,
211103090,2004,1,,,320,
211103090,2006,1,,,140,60
211104001,1991,1,,,40,0
211104001,1993,1,,,,
211104005,1989,1,,,,
211104005,1993,1,,,150,2
211104007,1989,1,,,,
211104008,1989,1,,,,
211104009,1989,1,,,,5
211104009,2006,1,,,950,
211104012,1991,1,,,0,8
211104012,1993,1,,,20,1
211104014,2004,1,,,300,
211104014,2006,1,,,350,
211104016,2004,1,,,130,
211104016,2006,1,,,140,
211104017,2004,1,,,100,
211104018,1989,1,,,,
211104081,2006,1,,,300,
211201003,1989,1,4,6,30,12
211201004,1989,1,,,,
211201005,1989,1,,,,
211201009,1991,1,,,20,20
211201009,1993,1,,,,5
211201015,1989,1,,,70,7.5
211201016,1989,1,16,7,,12
211201063,2000,1,,,80,
211202002,1989,1,6,5,0,
211202010,2006,1,,,500,
211202011,1989,1,,,60,12
211202011,1991,1,,,24,24
211202011,1993,1,,,100,
211202012,2000,1,,,100,
211202017,1989,1,24,6,0,
211202017,1991,1,,,25,25
211202017,1993,1,,,0,2
211203001,1989,1,,,,12.5
211203001,1991,1,,,20,25
211203001,1993,1,,,50,5
211203003,1989,1,24,6,40,12
211203003,1991,1,,,30,24
211203005,2004,1,,,200,
211203005,2006,1,,,200,
211203007,2004,1,,,300,
211203011,1989,1,24,6,50,25
211203011,1991,1,,,10,19
211203015,1991,1,,,20,0
211203015,1993,1,,,,5
211204001,1989,1,8,6,28,
211204001,1991,1,,,50,
211204002,1989,1,,,,47
211204004,1989,1,10,6,60,
211204004,1991,1,,,40,
211204004,1993,1,,,0,0
211204005,1989,1,0,0,60,
211204005,1991,1,,,50,10
211204008,1989,1,7,6,60,10
211204008,1991,1,,,24,24
211204008,1993,1,,,30,5
211204009,1989,1,8,6,60,7
211204009,1991,1,,,24,24
211204009,1993,1,,,10,9
211204012,1989,1,6,6,40,
211204014,1989,1,,,,10
211204014,1991,1,,,12,5
211204016,1989,1,8,6,40,
211204016,1991,1,,,24,12
211204018,1989,1,8,6,100,
211204062,2000,1,,,,
211204062,2004,1,,,150,
211204071,2004,1,,,200,
211204071,2006,1,,,120,
211204073,2000,1,,,150,
211208002,2004,1,,,120,
211208010,2000,1,,,200,20
211208015,2000,1,,,47,10
211208020,2000,1,,,,
212101002,1989,2,0,0,0,
212101002,1991,2,,,89,5
212101003,1991,2,,,70,10
212101006,1989,2,,,,0
212101006,1991,2,,,51,28
212101007,1989,2,,,15,
212101012,1989,2,,,15,
212101019,1989,2,,,20,
212102001,1989,2,4,7,0,0
212102001,2000,2,,,100,
212102001,2006,2,,,,
212102002,1989,2,,,25,
212102004,1989,2,,,,
212102005,1991,2,,,6,
212102007,1989,2,4,7,0,
212102007,1991,2,,,10,
212102007,1993,2,,,,
212102009,2004,2,,,50,
212102012,1989,2,5,3,,
212102012,1991,2,,,6,
212102014,1989,2,3,7,0,
212102014,1991,2,,,5,
212102016,1989,2,7,6,,10
212102016,1991,2,,,30,
212102018,1989,2,0,0,60,
212102018,1991,2,,,6,
212102019,1989,2,,,10,
212102020,1989,2,5,1,,
212102020,1991,2,,,6,
212103002,1991,2,,,9,
212103003,2006,2,,,140,
212103007,1993,2,,,,
212103007,2000,2,,,20,
212103008,1989,2,,0,2,
212103008,1991,2,,,10,
212103011,1989,2,10,6,20,
212103013,2000,2,,,80,
212103016,1989,2,,,,5
212103061,2000,2,,,200,
212103063,2000,2,,,20,
212104001,1993,2,,,,
212104008,1989,2,1,3,0,0
212104014,1989,2,2,6,0,
212104061,2000,2,,,120,
212104062,2006,2,,,100,
212104064,2000,2,,,60,
212104101,2006,2,,,300,
212201002,1989,2,8,6,30,13
212201003,2006,2,,,,
212201004,1989,2,8,6,30,9
212201004,1991,2,,,35,18
212201007,1989,2,8,6,0,10
212201007,1991,2,,,80,15
212201009,1989,2,8,6,20,10
212201009,1991,2,,,12,38
212201009,1993,2,,,50,0
212201010,1989,2,8,6,100,
212201010,1991,2,,,70,5
212201012,1989,2,6,6,20,5
212201013,1991,2,,,200,3
212201013,1993,2,,,120,6
212201014,1989,2,10,0,60,7.5
212201016,1989,2,,,,
212201017,1989,2,1,7,0,
212201017,1991,2,,,60,
212201019,1989,2,2,0,30,
212201019,1991,2,,,50,4
212201019,1993,2,,,60,6
212201063,2000,2,,,100,
212202003,1989,2,,,5,
212202004,2000,2,,,120,
212202004,2006,2,,,,
212202008,1993,2,,,5,
212202009,1989,2,,,,
212202010,1989,2,,,,2.5
212202011,1989,2,,,,
212202014,1989,2,,,,
212202015,1989,2,14,7,25,
212202017,1989,2,,,,
212202017,1993,2,,,150,
212202019,1991,2,,,8,
212202020,1989,2,10,6,50,2.5
212202020,1991,2,,,8,5
212202020,1993,2,,,15,
212202062,2000,2,,,100,
212202065,2000,2,,,,
212202065,2006,2,,,150,
212203005,1993,2,,,75,1
212203019,2006,2,,,,
212203020,2006,2,,,,
212203063,2000,2,,,100,
212203081,2006,2,,,,
212203101,2006,2,,,,
212204002,1993,2,,,8,
212204004,1989,2,3,6,18,
212204004,1993,2,,,40,
212204005,2004,2,,,,
212204011,1993,2,,,10,
212204012,1993,2,,,40,
212204017,2000,2,,,50,
212204019,1993,2,,,5,9
212204020,1993,2,,,,
212204065,2000,2,,,50,
212301004,1989,2,,,,
212301017,1991,2,,,60,40
212302003,1993,2,,,,
212302004,2006,2,,,,
212302005,2000,2,,,150,0
212302009,2006,2,,,,
212302011,2000,2,,,50,
212302015,2006,2,,,500,
212302019,2004,2,,,300,
212302019,2006,2,,,,
212302020,1993,2,,,,
212303004,2004,2,,,20,
212303004,2006,2,,,200,
212303006,2004,2,,,300,
212303016,1993,2,,,250,0
212303017,2000,2,,,,
212303017,2004,2,,,300,
212303020,2000,2,,,70,
212303081,2006,2,,,400,
212303082,2004,2,,,300,
212303082,2006,2,,,400,
212303101,2006,2,,,400,
212304003,1991,2,,,10,
212304005,2004,2,,,30,
212304011,2000,2,,,,
212304012,2006,2,,,,
212304014,2000,2,,,70,
212304020,2006,2,,,150,
212304061,2004,2,,,,16
212304062,2006,2,,,60,
212304063,2000,2,,,60,
212304066,2000,2,,,30,
212305004,2000,2,,,300,
