hours_studied,previous_scores,extracurricular_activities,sleep_hours,sample_question_papers_practiced,performance_index,school
7,99,1,9,1,91,A
4,82,0,4,2,65,A
8,51,1,7,2,45,A
5,52,1,5,2,36,A
7,75,0,8,5,66,A
3,78,0,9,6,61,A
7,73,1,5,6,63,A
8,45,1,4,6,42,A
5,77,0,8,2,61,A
4,89,0,4,0,69,A
8,91,0,4,5,84,A
8,79,0,6,2,73,A
3,47,0,9,2,27,A
6,47,0,4,2,33,A
5,79,0,7,8,68,A
2,72,0,4,3,43,A
8,73,1,8,4,67,A
6,83,1,7,2,70,A
2,54,1,4,9,30,A
5,75,0,7,0,63,A
1,99,1,4,3,71,A
6,96,0,9,0,85,A
9,74,1,7,6,73,A
1,85,0,5,6,57,A
3,61,0,6,3,35,A
7,62,1,7,4,49,A
4,79,0,8,9,66,A
9,84,1,6,6,83,A
3,94,1,6,5,74,A
5,90,1,4,3,74,A
3,61,1,7,3,39,A
7,44,1,9,1,36,A
5,70,1,6,9,58,A
9,52,1,8,1,47,A
7,67,1,9,3,60,A
2,97,1,9,4,74,A
4,59,0,8,3,42,A
9,72,0,8,2,68,A
2,55,1,4,1,32,A
9,68,0,5,3,64,A
5,62,0,7,4,45,A
2,63,1,6,0,39,A
4,73,1,7,0,58,A
7,46,0,9,5,36,A
8,77,1,6,4,71,A
3,76,1,4,3,54,A
1,43,1,7,0,17,A
4,73,0,4,6,54,A
2,81,1,4,3,58,A
8,61,0,7,2,53,A
4,44,1,7,6,27,A
2,89,1,6,1,65,A
6,81,0,9,9,75,A
6,62,1,9,0,52,A
4,93,0,8,3,78,A
6,99,0,4,7,91,A
2,54,1,9,5,33,A
2,70,1,5,8,47,A
4,98,0,6,0,78,A
8,48,0,6,0,38,A
7,82,1,8,4,70,A
9,97,1,8,5,98,A
8,92,1,4,7,87,A
5,64,1,6,2,49,A
2,64,1,6,5,41,A
5,88,0,5,2,71,A
8,60,0,4,7,54,A
9,48,0,4,3,42,A
9,94,0,9,1,91,A
1,87,1,8,8,61,A
9,77,0,9,9,74,A
7,61,1,4,7,54,A
9,82,1,5,5,81,A
8,62,1,4,2,52,A
1,88,1,9,1,65,A
8,43,1,7,3,36,A
8,68,0,7,3,61,A
3,54,1,5,0,35,A
1,40,1,8,8,15,A
8,93,1,6,9,88,A
3,69,0,4,7,45,A
3,68,1,9,6,49,A
1,59,1,8,5,33,A
5,72,1,9,2,60,A
7,80,0,8,3,71,A
9,83,1,4,1,81,A
7,75,0,6,6,67,A
9,99,0,4,1,95,A
8,61,1,6,9,58,A
2,52,0,9,0,29,A
1,46,0,5,5,21,A
7,47,1,6,3,38,A
7,67,1,8,7,60,A
8,84,1,5,0,76,A
5,82,1,9,8,69,A
3,48,0,7,5,30,A
8,64,0,5,1,57,A
6,95,1,6,7,81,A
3,55,1,5,4,36,A
1,49,1,9,4,25,A
3,50,0,5,4,27,A
5,70,1,9,6,61,A
3,51,0,7,6,34,A
1,99,0,6,9,76,A
5,70,0,8,6,57,A
7,53,0,5,9,45,A
7,90,1,4,1,76,A
9,83,1,8,7,83,A
3,71,1,5,0,50,A
7,89,0,8,1,81,A
1,92,0,4,6,66,A
4,56,1,8,3,38,A
4,74,0,8,9,56,A
5,40,0,4,9,25,A
7,68,0,4,8,56,A
7,90,1,4,8,82,A
4,43,1,7,2,23,A
7,62,1,9,2,56,A
3,67,0,9,8,46,A
6,55,1,4,9,43,A
2,51,1,9,7,30,A
9,92,1,8,0,92,A
5,60,0,4,5,45,A
6,84,0,5,6,70,A
4,56,0,4,7,36,A
7,79,0,4,1,71,A
9,52,0,9,0,49,A
7,91,1,6,3,82,A
1,97,1,8,0,71,A
1,71,0,9,1,43,A
9,76,0,8,2,77,A
9,89,1,5,3,86,A
4,54,0,7,5,34,A
9,51,0,6,7,49,A
3,88,0,5,8,69,A
7,96,0,5,3,84,A
6,54,0,8,0,41,A
8,73,1,6,4,68,A
9,45,1,8,4,44,A
5,56,0,7,8,41,A
1,87,0,8,5,58,A
3,88,1,4,4,68,A
8,96,0,8,9,94,A
6,59,1,4,9,47,A
8,48,0,5,4,40,A
9,98,1,7,7,100,A
4,44,1,9,0,23,A
1,62,0,4,4,36,A
1,72,0,7,0,47,A
4,77,1,8,6,60,A
7,95,0,9,6,83,A
2,53,1,8,9,33,A
3,56,0,5,7,36,A
1,96,0,8,6,74,A
5,58,0,4,8,42,A
1,72,1,5,7,47,A
8,40,1,7,7,31,A
1,52,0,5,2,26,A
1,85,1,7,9,58,A
2,66,0,6,3,42,A
2,45,1,4,3,18,A
6,98,0,4,0,85,A
7,45,1,7,5,36,A
5,72,1,8,1,58,A
1,69,1,9,8,45,A
1,85,1,8,0,60,A
3,74,1,6,0,56,A
2,62,1,7,9,42,A
5,49,0,6,5,33,A
6,90,0,7,0,77,A
7,58,1,6,2,51,A
4,90,0,7,9,72,A
7,67,1,4,1,57,A
8,62,0,6,8,53,A
1,43,0,6,4,16,A
6,59,0,7,5,45,A
8,58,0,5,1,49,A
5,81,1,5,7,67,A
4,66,0,4,5,49,A
2,96,0,8,7,73,A
6,73,0,8,7,65,A
6,43,1,4,0,27,A
1,95,0,8,6,72,A
9,77,1,9,1,74,A
6,46,1,9,7,38,A
3,87,0,9,1,67,A
4,46,1,9,3,28,A
4,89,0,7,1,73,A
3,91,0,5,6,72,A
3,65,0,4,4,42,A
3,65,0,7,8,47,A
4,93,0,9,4,77,A
7,58,0,4,7,49,A
4,48,0,5,1,30,A
9,59,1,8,2,54,A
1,81,1,7,5,56,A
8,84,0,5,6,75,A
7,89,0,4,9,78,A
2,55,1,6,7,32,A
8,93,0,7,2,89,A
1,56,1,4,6,29,A
9,61,1,4,7,57,A
9,52,0,5,9,48,A
2,51,0,4,5,27,A
7,49,1,7,3,38,A
3,40,1,9,5,18,A
7,71,0,7,8,66,A
9,69,0,4,2,65,A
4,47,1,5,1,27,A
1,60,1,7,4,33,A
2,61,1,6,6,37,A
1,57,0,9,2,29,A
5,41,0,8,4,26,A
5,87,0,5,3,72,A
7,83,1,5,6,77,A
9,48,1,8,1,45,A
9,42,0,8,6,41,A
3,93,1,7,1,73,A
3,65,1,4,2,43,A
3,60,1,4,4,39,A
4,69,1,6,6,54,A
8,67,1,9,5,62,A
6,75,0,4,6,63,A
8,65,0,6,5,59,A
1,73,0,6,0,46,A
8,47,0,5,4,42,A
4,49,0,5,0,30,A
1,87,1,9,6,63,A
8,94,1,7,3,89,A
4,82,1,8,4,62,A
6,89,0,8,0,77,A
8,93,1,9,7,88,A
4,53,1,6,3,35,A
3,79,1,9,2,60,A
9,94,0,8,0,92,A
3,54,1,6,3,38,A
9,56,1,8,2,56,A
2,92,0,7,7,70,A
2,57,0,5,8,35,A
2,71,1,5,4,47,A
6,77,0,6,8,66,A
3,62,1,9,0,43,A
9,85,0,8,6,81,A
4,62,1,4,6,43,A
1,74,1,7,5,46,A
4,78,0,8,3,61,A
1,54,0,4,8,27,A
5,92,0,7,2,77,A
4,63,0,7,0,43,A
8,67,1,5,1,60,A
8,55,0,6,2,48,A
7,55,1,8,1,47,A
3,79,1,7,5,60,A
1,78,1,8,6,53,A
1,45,0,7,4,19,A
3,41,1,9,4,23,A
6,93,1,5,6,81,A
7,52,0,6,5,41,A
6,83,1,4,7,71,A
6,86,1,4,8,75,A
6,98,1,9,1,89,A
3,48,0,5,1,28,A
6,73,1,7,0,60,A
8,56,1,5,6,54,A
2,66,1,6,3,41,A
5,68,0,4,8,52,A
1,76,0,8,5,53,A
1,82,0,4,6,52,A
5,61,1,6,6,47,A
3,90,1,7,7,71,A
4,63,1,5,3,42,A
3,46,1,4,2,21,A
1,73,1,4,2,48,A
1,87,0,8,9,64,A
5,51,1,5,7,38,A
6,62,1,8,2,49,A
3,54,0,8,7,35,A
9,72,0,7,1,73,A
5,96,1,4,4,81,A
8,52,0,9,4,47,A
1,62,0,5,6,36,A
5,77,0,7,4,63,A
3,71,1,9,8,52,A
1,84,0,7,2,58,A
4,89,1,7,8,77,A
5,74,0,6,0,58,A
7,40,1,6,2,33,A
1,86,1,7,3,67,A
3,97,1,6,5,76,A
2,84,0,5,9,62,A
9,44,0,4,7,37,A
6,96,0,9,6,86,A
3,52,1,5,7,37,A
8,93,0,4,5,88,A
8,44,0,6,5,38,A
2,99,1,9,5,76,A
6,71,0,5,2,57,A
7,90,1,8,9,82,A
2,60,0,7,3,35,A
2,63,1,4,5,41,A
1,99,1,4,6,75,A
8,57,0,8,2,51,A
1,60,1,8,3,34,A
9,93,0,7,5,92,A
6,49,0,6,0,39,A
7,63,0,5,6,56,A
7,79,0,5,0,69,A
3,86,1,5,9,69,A
2,60,1,6,8,40,A
9,64,1,7,9,63,A
8,91,0,5,8,86,A
7,99,0,4,8,89,A
9,96,1,4,3,94,A
4,98,1,4,1,79,A
4,62,0,8,6,44,A
1,61,0,8,3,33,A
8,43,0,6,4,36,A
3,73,1,5,0,50,A
7,95,0,8,9,94,A
2,45,1,4,5,22,A
2,67,0,8,6,44,A
7,70,1,4,2,60,A
6,74,0,5,9,64,A
3,78,1,6,1,58,A
9,81,1,7,9,78,A
6,62,1,7,6,51,A
6,45,0,4,0,30,A
1,55,1,8,1,29,A
4,41,1,8,2,22,A
6,63,0,4,3,51,A
6,56,1,5,4,45,A
5,84,1,4,3,70,A
1,40,0,5,9,10,A
8,45,1,6,2,38,A
5,44,0,6,0,30,A
5,96,1,4,6,82,A
7,84,0,6,9,74,A
4,99,1,8,5,87,A
6,94,1,5,1,77,A
4,89,1,7,1,72,A
3,68,0,7,2,51,A
7,51,1,6,7,40,A
8,78,1,5,7,72,A
4,86,0,8,9,68,A
2,42,0,7,9,22,A
3,87,0,8,9,67,A
1,40,1,8,9,18,A
8,66,1,7,7,64,A
3,87,1,7,6,66,A
7,63,0,6,1,50,A
5,83,0,5,0,68,A
5,58,1,4,5,44,A
7,98,1,5,7,90,A
9,47,0,4,0,41,A
5,94,0,7,2,83,A
1,83,0,8,0,57,A
1,86,1,5,9,64,A
2,41,0,8,8,18,A
6,69,0,5,6,62,A
9,69,0,9,7,66,A
8,88,0,5,8,85,A
5,78,1,8,2,62,A
1,84,0,9,9,62,A
7,71,1,6,1,62,A
5,40,1,7,5,26,A
6,77,0,6,4,66,A
7,52,0,6,3,43,A
3,50,1,5,5,30,A
3,49,0,7,5,25,A
5,87,1,9,2,77,A
6,98,0,5,1,88,A
9,65,1,4,8,62,A
5,95,1,5,7,82,A
1,94,1,9,3,73,A
4,59,0,8,5,44,A
5,56,1,5,2,40,A
5,56,1,4,7,39,A
7,43,0,5,2,34,A
4,44,0,9,1,27,A
1,99,1,4,6,73,A
5,62,1,7,2,46,A
7,85,0,9,8,78,A
6,91,1,5,2,80,A
5,49,0,4,7,33,A
4,85,0,9,1,68,A
2,67,0,7,8,45,A
4,72,1,8,0,56,A
3,82,0,6,2,58,A
1,65,1,4,1,37,A
8,94,1,8,6,88,A
5,89,0,7,4,75,A
4,87,0,8,7,70,A
